Date,Stock,Qty,Side,Type,Price,Reason
2019-07-29T11:42:53Z,CY,1,sell,stop,22.51337101,Stop Loss Update
2019-07-29T11:43:04Z,CTRL,1,sell,stop,23.75662807,Stop Loss Update
2019-07-29T11:43:15Z,BB,2,sell,stop,7.0015,Stop Loss Update
2019-07-29T18:04:13Z,CY,1,sell,stop,22.59837101,Stop Loss Update
2019-07-30T11:39:02Z,IBN,3,Buy,Limit,12.58,Probability
2019-07-30T11:39:03Z,T,1,Buy,Limit,34.34,Probability
2019-07-30T11:39:03Z,CRAY,1,Buy,Limit,34.650002,Probability
2019-07-30T11:39:24Z,CY,1,sell,stop,22.62955865,Stop Loss Update
2019-07-30T11:39:35Z,CTRL,1,sell,stop,23.75044049,Stop Loss Update
2019-07-30T18:05:13Z,IBN,1,sell,market,12.22,Rebalance Market Sell
2019-07-30T18:05:23Z,CRAY,1,sell,market,34.67,Rebalance Market Sell
2019-07-30T18:05:45Z,T,1,sell,stop,33.27533323,Initial Stop Loss
2019-07-30T18:05:45Z,IBN,2,sell,stop,11.89529051,Initial Stop Loss
2019-07-30T18:05:57Z,CTRL,1,sell,stop,23.77044049,Stop Loss Update
2019-07-31T11:32:55Z,WMGI,1,Buy,Limit,28.84,Probability
2019-07-31T11:33:17Z,CY,1,sell,stop,22.64887603,Stop Loss Update
2019-07-31T11:33:28Z,CTRL,1,sell,stop,23.77255203,Stop Loss Update
2019-07-31T11:33:39Z,BB,2,sell,stop,7.068,Stop Loss Update
2019-08-01T11:30:09Z,WMGI,1,sell,stop,27.398,Initial Stop Loss
2019-08-01T11:30:21Z,CTRL,1,sell,market,23.91,Projected To Lose Half Of Gain
2019-08-01T18:03:20Z,CTRL,1,sell,market,23.91,Projected To Lose Half Of Gain
2019-08-01T18:03:31Z,BB,2,sell,market,7.255,Projected To Lose Half Of Gain
2019-08-02T11:30:44Z,TUP,2,Buy,Limit,14.95,Probability
2019-08-02T11:30:44Z,GVA,1,Buy,Limit,34,Probability
2019-08-02T11:30:44Z,OII,1,Buy,Limit,15.03,Probability
2019-08-02T11:30:44Z,RRC,1,Buy,Limit,5.15,Probability
2019-08-02T18:03:00Z,TUP,2,sell,stop,14.155,Initial Stop Loss
2019-08-02T18:03:01Z,RRC,1,sell,stop,4.845,Initial Stop Loss
2019-08-02T18:03:02Z,OII,1,sell,stop,14.2785,Initial Stop Loss
2019-08-02T18:03:02Z,GVA,1,sell,stop,31.9295,Initial Stop Loss
2019-08-05T11:32:37Z,WMGI,1,sell,stop,27.607,Stop Loss Update
2019-08-05T11:32:38Z,RRC,1,sell,stop,4.845,Initial Stop Loss
2019-08-05T11:32:39Z,OII,1,sell,stop,14.2785,Initial Stop Loss
2019-08-05T11:32:39Z,GVA,1,sell,stop,31.9295,Initial Stop Loss
2019-08-05T18:03:58Z,WLL,2,Buy,Limit,11.06,Probability
2019-08-05T18:03:58Z,CARB,1,Buy,Limit,17.370001,Probability
2019-08-05T18:03:58Z,PGTI,2,Buy,Limit,14.37,Probability
2019-08-06T11:34:22Z,VST,1,Buy,Limit,21.719999,Probability
2019-08-06T11:34:22Z,PJT,1,Buy,Limit,39.400002,Probability
2019-08-06T11:34:23Z,CCJ,1,Buy,Limit,8.67,Probability
2019-08-06T11:34:23Z,SXC,1,Buy,Limit,6.71,Probability
2019-08-06T11:34:35Z,WLL,2,sell,stop,10.13175,Initial Stop Loss
2019-08-06T11:34:45Z,TUP,2,sell,stop,14.2785,Stop Loss Update
2019-08-06T11:34:46Z,PGTI,2,sell,stop,13.6515,Initial Stop Loss
2019-08-06T11:34:47Z,CARB,1,sell,stop,16.188,Initial Stop Loss
2019-08-07T11:31:47Z,WMGI,1,sell,market,28.51,Negative After Projection
2019-08-07T11:31:57Z,WMGI,1,sell,market,28.51,Projected To Lose Half Of Gain
2019-08-07T11:31:58Z,VST,1,sell,stop,20.69504278,Initial Stop Loss
2019-08-07T11:32:09Z,TUP,2,sell,stop,14.896,Stop Loss Update
2019-08-07T11:32:09Z,SXC,1,sell,stop,6.3745,Initial Stop Loss
2019-08-07T11:32:10Z,PJT,1,sell,stop,37.43,Initial Stop Loss
